punit_idx,E[N],1,2,3,4,5,6,7,8,9,10,11,12,13
53,7.809830200658979,0.339220439,0.339220439,0.198553665,0.386243281,0.560787648,0.339220439,0.198553665,0.577017058,,,,,
71,9.221651889045265,0.917320965,0.639468887,0.917320965,0.639468887,0.341858376,0.341858376,0.374762937,,,,,,
13,8.528226139661662,1.052356341,1.047696479,0.796180269,0.66839441,1.287829238,1.052356341,1.052356341,1.287829238,,,,,
47,3.2632815480276305,0.751646477,1.184897785,1.184897785,1.184897785,,,,,,,,,
33,4.4243511508180395,0.325672856,0.554677459,0.354698724,0.554677459,,,,,,,,,
86,9.437775390345399,0.233462495,0.429890303,0.258261644,0.378690387,0.258261644,0.344659649,0.527881884,0.344659649,,,,,
67,8.110886454718884,0.376633162,1.169709345,0.379939181,0.968225412,1.169709345,1.169709345,0.379939181,0.247597798,,,,,
98,7.706091741315815,0.224114334,0.304508319,0.486906039,0.486906039,0.260911857,0.842129698,0.304508319,,,,,,
98,7.706091741315815,0.138968999,0.350474393,0.304508319,0.304508319,0.304508319,0.138968999,0.350474393,,,,,,
91,10.460155455507065,0.527881884,0.527881884,0.429890303,0.429890303,0.378690387,0.679654055,0.679654055,0.344659649,0.378690387,0.303585458,,,
106,10.366553124209966,0.233462495,0.679654055,0.429890303,0.486906039,0.303585458,0.429890303,0.449589501,0.486906039,0.378690387,0.429890303,,,
39,8.529424785014196,0.929623072,0.47539448,0.516423733,0.737668953,1.019310921,0.593275359,0.593275359,0.737668953,,,,,
82,5.777801949880675,0.484830596,0.44347814,0.232096649,0.484830596,0.28463147,,,,,,,,
104,8.77661769465471,0.486906039,0.304508319,0.304508319,0.350474393,0.138968999,0.842129698,0.682465094,0.241126178,,,,,
7,8.098947015398732,0.613532994,0.426455835,0.917320965,0.917320965,0.475596501,0.917320965,0.917320965,,,,,,
86,9.437775390345399,0.309618054,0.233462495,0.527881884,0.302415181,0.527881884,0.429890303,0.258261644,0.344659649,,,,,
32,6.895859962195834,0.498284557,0.498284557,0.354698724,0.354698724,0.554677459,0.554677459,,,,,,,
85,9.909112807253361,0.527881884,0.527881884,0.258261644,0.302415181,0.258261644,0.302415181,0.258261644,0.464666176,,,,,
14,10.251559878185606,0.47756148,0.680994673,0.47756148,1.047696479,0.66839441,0.710300061,0.66839441,1.052356341,0.631606701,0.631606701,,,
87,9.056050263088068,0.233462495,0.233462495,0.233462495,0.344659649,0.344659649,0.344659649,0.241126178,0.233462495,0.527881884,0.233462495,0.233462495,,
88,5.873427962553563,0.486906039,0.486906039,0.679654055,0.486906039,0.241126178,0.303585458,,,,,,,
2,10.319064440632182,0.631606701,0.631606701,1.491364227,0.680994673,1.172203416,1.491364227,1.491364227,0.631606701,1.172203416,,,,
50,7.426062683479746,0.613265541,0.437277919,0.613265541,0.613265541,0.386243281,0.198553665,,,,,,,
58,6.87960908882081,0.437277919,0.437277919,0.198553665,0.593733517,0.386243281,0.198553665,0.437277919,0.613265541,,,,,
89,8.498222188163776,0.350474393,0.344659649,0.679654055,0.138968999,0.233462495,0.682465094,0.138968999,0.682465094,0.233462495,0.350474393,0.233462495,,
106,10.366553124209966,0.486906039,0.258261644,0.241126178,0.449589501,0.258261644,0.449589501,0.258261644,0.344659649,0.258261644,0.429890303,,,
106,10.366553124209966,0.303585458,0.378690387,0.233462495,0.486906039,0.303585458,0.344659649,0.679654055,0.344659649,0.241126178,0.258261644,,,
4,11.805614651945152,0.710300061,0.917320965,0.47756148,0.104654898,0.607520842,0.819278898,0.374762937,0.47756148,0.917320965,0.427978686,0.819278898,,
50,7.426062683479746,0.35178314,0.198553665,0.613265541,0.386243281,0.613265541,0.35178314,,,,,,,
61,8.26213265002325,1.169709345,0.437277919,1.169709345,0.207004214,0.379939181,0.379939181,0.577017058,,,,,,
72,9.86173401124044,0.819278898,0.607520842,0.917320965,0.104654898,0.47756148,0.917320965,0.819278898,0.917320965,0.917320965,,,,
58,6.87960908882081,0.437277919,0.437277919,0.316447193,0.386243281,0.437277919,0.35178314,0.560787648,0.316447193,,,,,
68,7.904940645791416,0.968225412,0.341858376,0.577017058,0.341858376,0.577017058,1.169709345,0.968225412,0.577017058,,,,,
28,4.704767064221415,0.593275359,0.47539448,0.593275359,0.565013519,0.498284557,,,,,,,,
106,10.366553124209966,0.303585458,0.350474393,0.258261644,0.429890303,0.138968999,0.679654055,0.241126178,0.303585458,0.303585458,0.138968999,,,
22,7.372550806875913,1.287829238,0.66839441,0.680994673,0.680994673,0.66839441,0.680994673,,,,,,,
101,6.260428750187016,0.138968999,0.138968999,0.682465094,0.682465094,0.241126178,0.241126178,,,,,,,
93,9.278668576973363,0.232096649,0.302415181,0.527881884,0.302415181,0.309618054,0.302415181,0.232096649,0.309618054,0.527881884,0.44347814,,,
54,2.304004696038918,0.659421977,0.739917238,,,,,,,,,,,
62,6.7945776803803355,1.169709345,0.593733517,0.968225412,0.376633162,0.247597798,0.247597798,0.968225412,0.577017058,,,,,
11,10.190557173937158,0.66839441,0.631606701,1.491364227,1.790903564,0.550679229,0.631606701,1.491364227,0.66839441,0.47756148,0.550679229,0.47756148,0.680994673,
87,9.056050263088068,0.258261644,0.429890303,0.344659649,0.258261644,0.527881884,0.679654055,0.309618054,0.679654055,,,,,
102,1.035502242738708,0.168358228,,,,,,,,,,,,
30,7.1296049171495275,0.565013519,0.929623072,0.498284557,0.593275359,0.737668953,0.628415368,0.628415368,0.593275359,0.929623072,,,,
105,5.901981292402512,0.350474393,0.350474393,0.842129698,0.304508319,0.304508319,0.338491701,0.354698724,,,,,,
13,8.528226139661662,1.047696479,1.172203416,1.287829238,1.287829238,1.491364227,0.796180269,1.052356341,1.047696479,0.796180269,0.66839441,,,
72,9.86173401124044,1.169709345,0.639468887,0.104654898,0.819278898,1.169709345,0.917320965,1.169709345,0.379939181,0.819278898,0.819278898,0.341858376,,
15,11.42344959442308,0.573607907,0.631606701,0.550679229,0.680994673,0.710300061,0.631606701,0.819278898,1.790903564,0.427978686,1.047696479,0.819278898,0.47756148,0.47756148
12,6.590640150683724,1.172203416,0.631606701,1.172203416,0.680994673,0.631606701,1.052356341,0.680994673,,,,,,
66,6.884852111907833,0.247597798,1.169709345,0.247597798,1.169709345,0.247597798,1.169709345,,,,,,,
