punit_idx,E[N],1,2,3,4,5,6,7,8,9
95,4.2865259352900535,0.338491701,0.611494513,0.611494513,0.234934085,0.332597832,,,,
4,7.883053644261184,0.819278898,0.374762937,0.958913285,0.819278898,0.819278898,0.341858376,0.613532994,,
58,4.93060712986172,0.386243281,0.386243281,0.198553665,0.560787648,0.386243281,,,,
12,4.86964408876822,1.047696479,1.790903564,1.172203416,1.491364227,1.047696479,1.047696479,,,
9,7.306854844452943,0.819278898,0.819278898,0.550679229,0.427978686,0.104654898,0.550679229,0.550679229,,
90,6.688057185869882,0.429890303,0.486906039,0.350474393,0.350474393,0.241126178,0.350474393,,,
26,4.830252374993766,0.593275359,0.47539448,0.593275359,,,,,,
103,4.963067737736455,0.138968999,0.260911857,0.260911857,0.350474393,0.682465094,0.260911857,,,
94,4.892824964926746,0.338491701,0.302415181,0.332597832,0.464666176,0.464666176,0.464666176,,,
5,7.723501647966697,0.639468887,0.958913285,0.639468887,0.639468887,0.958913285,0.917320965,,,
20,4.362951592633542,0.573607907,0.680994673,0.680994673,0.573607907,,,,,
100,6.200106722519125,0.842129698,0.241126178,0.682465094,0.682465094,0.260911857,0.260911857,0.486906039,0.682465094,
19,3.475776856937456,0.426455835,0.710300061,0.710300061,0.186730817,,,,,
9,7.306854844452943,1.790903564,0.607520842,0.47756148,0.47756148,0.819278898,0.607520842,0.631606701,,
68,4.503484363865487,0.639468887,0.968225412,0.639468887,0.639468887,,,,,
87,6.242171620971667,0.344659649,0.527881884,0.233462495,0.378690387,0.258261644,,,,
36,5.993454685222217,0.696160728,0.737668953,0.737668953,0.498284557,0.696160728,0.737668953,0.593275359,,
106,6.607180057633325,0.241126178,0.350474393,0.429890303,0.679654055,0.303585458,,,,
89,5.585465518541899,0.241126178,0.303585458,0.303585458,0.429890303,0.241126178,,,,
52,5.595468083444224,0.386243281,0.198553665,0.35178314,0.198553665,0.613265541,0.386243281,0.386243281,0.198553665,
22,5.201497727359385,0.680994673,1.287829238,0.573607907,0.796180269,0.796180269,,,,
93,4.781839000677097,0.232096649,0.234934085,0.232096649,0.234934085,0.611494513,0.332597832,,,
14,6.993141334504265,0.573607907,0.66839441,1.052356341,0.573607907,0.47756148,1.047696479,0.573607907,0.573607907,
74,3.784936140334292,0.379939181,1.169709345,1.169709345,,,,,,
33,3.317201905317193,0.554677459,0.354698724,0.325672856,0.602618203,,,,,
13,5.9578985136602975,1.172203416,0.66839441,1.047696479,0.796180269,1.172203416,1.172203416,1.047696479,1.287829238,
