punit_idx,E[N],1,2,3,4,5,6,7,8,9
53,0.7312450426470221,0.659421977,0.593733517,0.339220439,0.659421977,,,,,
89,1.0496992345215133,0.429890303,0.679654055,0.679654055,0.233462495,0.679654055,0.241126178,,,
10,1.3588695054946762,0.607520842,0.427978686,0.427978686,0.607520842,0.427978686,0.819278898,0.819278898,,
66,0.8539049783546009,0.968225412,0.379939181,0.639468887,0.639468887,,,,,
81,0.9556917526936901,0.44347814,0.484830596,0.44347814,0.484830596,0.44347814,,,,
105,0.7676234509706428,0.304508319,0.260911857,0.260911857,0.260911857,,,,,
100,1.1415767746933854,0.682465094,0.429890303,0.682465094,0.350474393,0.350474393,0.429890303,,,
30,0.9402716751051244,0.593275359,0.498284557,0.498284557,0.72813035,,,,,
3,1.406048534392423,0.607520842,0.104654898,0.819278898,0.819278898,0.104654898,0.374762937,0.819278898,,
92,1.0547043933070053,0.302415181,0.258261644,0.302415181,0.304508319,0.344659649,0.304508319,0.233462495,,
82,0.9381713371111372,0.44347814,0.28463147,0.484830596,0.28463147,,,,,
89,1.0496992345215133,0.429890303,0.486906039,0.429890303,0.241126178,0.679654055,,,,
78,0.9073523046109615,0.232096649,0.309618054,0.28463147,,,,,,
86,1.1267304002674017,0.258261644,0.258261644,0.527881884,0.378690387,0.527881884,,,,
51,1.2198032394329323,0.386243281,0.386243281,0.613265541,0.437277919,0.35178314,0.437277919,,,
0,0.6642373237955173,0.631606701,1.047696479,1.172203416,1.790903564,1.491364227,,,,
30,0.9402716751051244,0.565013519,0.565013519,0.498284557,0.593275359,,,,,
10,1.3588695054946762,0.550679229,0.639468887,0.607520842,0.639468887,0.550679229,,,,
89,1.0496992345215133,0.241126178,0.682465094,0.682465094,0.682465094,0.241126178,0.429890303,,,
0,0.6642373237955173,1.790903564,1.047696479,1.047696479,0.631606701,0.631606701,,,,
9,1.2735403320291945,0.917320965,0.607520842,0.374762937,0.374762937,0.427978686,0.550679229,0.427978686,,
66,0.8539049783546009,0.968225412,0.968225412,0.247597798,0.376633162,0.247597798,,,,
89,1.0496992345215133,0.429890303,0.679654055,0.241126178,0.679654055,0.429890303,,,,
98,0.9657166940240289,0.304508319,0.350474393,0.260911857,0.842129698,0.304508319,0.224114334,,,
7,0.717514073431899,0.958913285,0.958913285,0.374762937,0.613532994,,,,,
24,0.46227398592134816,0.332597832,0.332597832,,,,,,,
34,0.6318070145437391,0.602618203,0.554677459,,,,,,,
30,0.9402716751051244,0.498284557,0.498284557,0.498284557,0.72813035,0.565013519,,,,
67,0.7751209245806974,1.169709345,1.169709345,0.968225412,0.577017058,0.577017058,,,,
66,0.8539049783546009,1.169709345,0.376633162,1.169709345,0.376633162,,,,,
56,0.7750913208967366,0.593733517,0.560787648,0.560787648,,,,,,
9,1.2735403320291945,0.374762937,0.104654898,0.427978686,0.374762937,0.104654898,0.550679229,0.607520842,,
86,1.1267304002674017,0.344659649,0.378690387,0.378690387,0.527881884,0.378690387,0.527881884,0.258261644,,
64,0.6270657724472672,0.435937256,0.666497526,0.376633162,,,,,,
37,1.1559762010695602,0.628415368,0.565013519,0.737668953,0.593275359,0.737668953,0.498284557,0.47539448,0.565013519,
106,1.2647259223629164,0.378690387,0.233462495,0.303585458,0.303585458,0.429890303,0.241126178,0.429890303,,
