punit_idx,E[N],1,2,3,4,5,6,7,8,9,10,11,12,13
85,1.1146193559249111,0.302415181,0.484830596,0.258261644,0.44347814,0.28463147,0.309618054,0.332597832,0.302415181,0.302415181,0.28463147,0.464666176,,
61,0.8977933555579047,0.437277919,0.207004214,0.437277919,0.247597798,0.437277919,0.577017058,0.639468887,0.968225412,0.379939181,,,,
86,1.3319293086760653,0.464666176,0.378690387,0.378690387,0.527881884,0.344659649,0.429890303,0.258261644,0.233462495,,,,,
104,1.1697795639860307,0.304508319,0.260911857,0.260911857,0.354698724,0.138968999,0.842129698,0.350474393,0.260911857,,,,,
22,0.9749265116268724,0.573607907,1.047696479,1.047696479,0.66839441,1.047696479,1.047696479,0.680994673,,,,,,
55,0.6588739825536742,0.560787648,0.739917238,0.560787648,0.560787648,0.560787648,,,,,,,,
103,0.974445913682907,0.138968999,0.138968999,0.486906039,0.350474393,0.304508319,0.350474393,0.682465094,0.350474393,,,,,
105,0.8772368508030279,0.842129698,0.338491701,0.224114334,0.338491701,0.338491701,,,,,,,,
23,0.7048471433286196,0.66839441,1.047696479,1.047696479,1.287829238,0.66839441,0.66839441,1.052356341,,,,,,
80,1.200823288026422,0.28463147,0.44347814,0.44347814,0.28463147,0.232096649,0.302415181,0.464666176,,,,,,
25,0.8327944996430056,0.354698724,0.842129698,0.325672856,0.842129698,,,,,,,,,
86,1.3319293086760653,0.233462495,0.378690387,0.464666176,0.527881884,0.429890303,0.464666176,0.464666176,0.378690387,,,,,
87,1.3441125380456171,0.429890303,0.679654055,0.378690387,0.679654055,0.429890303,0.233462495,0.429890303,0.344659649,,,,,
36,1.3363174298096958,0.47539448,0.593275359,0.929623072,0.323861484,0.565013519,0.593275359,0.554677459,0.929623072,0.554677459,0.929623072,,,
19,0.8719821903248158,0.186730817,0.475596501,0.475596501,0.710300061,0.475596501,0.427978686,,,,,,,
5,1.3989323059874474,0.917320965,0.819278898,0.607520842,0.374762937,0.550679229,0.341858376,0.550679229,0.958913285,0.427978686,0.374403126,0.607520842,0.607520842,
11,1.2395301304072435,1.047696479,0.607520842,0.796180269,0.607520842,1.052356341,1.790903564,1.047696479,1.172203416,1.790903564,0.607520842,1.172203416,,
35,1.026738611278554,0.602618203,0.555764093,0.602618203,0.325672856,0.354698724,0.929623072,0.325672856,0.929623072,0.555764093,0.737668953,0.354698724,,
100,1.3150877961986303,0.138968999,0.350474393,0.241126178,0.679654055,0.260911857,0.486906039,0.486906039,0.350474393,0.138968999,,,,
4,1.4909249691638635,0.427978686,0.550679229,0.639468887,0.104654898,0.341858376,0.819278898,0.710300061,0.427978686,0.639468887,0.639468887,0.710300061,0.341858376,
22,0.9749265116268724,0.573607907,0.796180269,0.796180269,1.047696479,1.047696479,1.287829238,1.052356341,,,,,,
73,1.0374256587093835,0.374762937,0.639468887,0.104654898,0.639468887,0.819278898,0.968225412,0.968225412,0.104654898,0.379939181,,,,
57,0.8440220636929078,0.560787648,0.339220439,0.339220439,0.593733517,0.659421977,,,,,,,,
81,1.0665372495431233,0.44347814,0.464666176,0.332597832,0.464666176,0.332597832,0.309618054,0.484830596,0.28463147,,,,,
77,1.1355122951748706,0.378690387,0.378690387,0.429890303,0.429890303,0.429890303,0.378690387,0.429890303,0.527881884,,,,,
29,0.7405726121654537,0.905400484,0.659158624,0.659158624,,,,,,,,,,
80,1.200823288026422,0.232096649,0.28463147,0.44347814,0.484830596,0.464666176,0.232096649,0.484830596,,,,,,
79,1.3005074491735151,0.464666176,0.232096649,0.484830596,0.44347814,0.232096649,0.232096649,0.28463147,0.302415181,,,,,
