punit_idx,E[N],1,2,3,4,5
101,1.878206315202548,0.682465094,,,,
95,2.7278736632432516,0.611494513,0.611494513,0.464666176,0.332597832,
81,2.4942328950224937,0.44347814,0.44347814,,,
8,3.14053881006345,0.427978686,0.427978686,,,
40,2.342904347998283,0.555764093,0.555764093,,,
5,3.3835065974305683,0.374762937,0.374762937,0.374762937,,
47,1.0513057272345347,0.751646477,,,,
57,2.4630203443277785,0.339220439,0.560787648,,,
98,3.1949872979056737,0.260911857,0.224114334,0.842129698,0.350474393,
73,2.4441156356980076,0.341858376,0.341858376,0.341858376,,
104,3.3266168429080953,0.842129698,0.350474393,0.260911857,0.350474393,
70,1.7653371900796657,0.374403126,0.374403126,,,
64,1.775867251375772,0.435937256,0.435937256,,,
18,1.7204408675951504,0.186730817,,,,
72,3.1438868710435237,0.550679229,0.104654898,0.550679229,,
89,3.430984161390109,0.303585458,0.303585458,0.679654055,0.429890303,
79,3.219615691812704,0.302415181,0.309618054,0.232096649,0.28463147,
57,2.4630203443277785,0.560787648,0.560787648,,,
92,3.061122464372342,0.258261644,0.527881884,0.527881884,,
10,4.429000283608429,0.917320965,0.819278898,0.550679229,0.550679229,
100,3.6509411386659867,0.486906039,0.682465094,0.682465094,0.138968999,
101,1.878206315202548,0.486906039,0.682465094,,,
74,2.196206391756537,1.169709345,1.169709345,,,
7,1.9666221837141677,0.613532994,,,,
15,2.658432846403966,0.710300061,0.66839441,0.47756148,,
101,1.878206315202548,0.679654055,0.679654055,,,
19,2.4470332597624904,0.475596501,0.475596501,,,
78,2.7192284186555478,0.309618054,0.232096649,,,
63,1.231549149214175,0.690604426,,,,
37,3.8241263042326543,0.498284557,0.737668953,0.565013519,0.593275359,
78,2.7192284186555478,0.28463147,0.28463147,0.232096649,,
52,3.7343747709509048,0.198553665,0.198553665,0.386243281,0.613265541,
72,3.1438868710435237,0.550679229,0.550679229,0.550679229,,
86,3.55484815786707,0.258261644,0.258261644,0.344659649,0.527881884,
20,1.957141755097107,0.573607907,,,,
62,1.3955745533065944,0.247597798,,,,
73,2.4441156356980076,0.639468887,0.341858376,,,
83,2.097910049033443,0.464666176,0.611494513,0.464666176,,
99,3.3995389760268746,0.350474393,0.350474393,0.350474393,,
27,1.991544548769614,0.416770886,0.659158624,,,
89,3.430984161390109,0.679654055,,,,
36,3.439471233780485,0.696160728,0.593275359,0.593275359,0.696160728,0.696160728
65,1.9656977837328706,0.376633162,0.376633162,,,
35,2.3543835474478114,0.696160728,0.737668953,0.737668953,,
5,3.3835065974305683,0.917320965,0.374762937,0.917320965,,
72,3.1438868710435237,0.104654898,0.104654898,0.104654898,,
17,2.325033441568433,0.426455835,0.710300061,,,
66,2.583258986645772,0.968225412,0.379939181,0.379939181,,
22,2.6480699305557898,0.680994673,1.052356341,1.052356341,,
40,2.342904347998283,1.019310921,0.555764093,,,
74,2.196206391756537,0.379939181,0.968225412,0.379939181,,
90,3.8262262980656563,0.429890303,0.303585458,0.303585458,0.429890303,
6,2.494894204637158,0.374762937,0.613532994,0.958913285,,
71,2.4966713036064765,0.341858376,0.374403126,0.374403126,0.207004214,
81,2.4942328950224937,0.484830596,0.44347814,,,
9,3.859067711419842,0.819278898,0.819278898,0.819278898,,
75,1.6121038756004027,0.435937256,0.435937256,,,
81,2.4942328950224937,0.44347814,0.484830596,,,
32,2.3047409798206475,0.696160728,0.696160728,0.354698724,,
21,3.524935133144591,0.66839441,0.680994673,0.66839441,0.796180269,0.573607907
21,3.524935133144591,0.796180269,1.047696479,0.680994673,1.047696479,
